name,hex
powder pink,#eba4c6
purple brown,#6b3f4d
greyish brown,#907e6f
warm brown,#864a21
lime yellow,#d2f33e
light lime green,#a3f570
robins egg,#6dd0e8
cool green,#48c47f
shamrock,#35c646
brown orange,#ca7222
deep violet,#59297b
light lavender,#d2b8e9
blue black,#1b2952
cranberry,#cd285e
bright violet,#b93ee7
violet purple,#9944be
faded blue,#6096c5
very dark blue,#19215c
greenish,#83ce7c
ocean green,#44ae84
very light green,#b0f5ac
deep magenta,#a0276a
leafy green,#65ab32
idk,#b3977e
pale brown,#aa8567
dirt brown,#8f683e
brown grey,#8b7c65
muddy green,#78823f
very dark purple,#401e46
dusky rose,#ce758e
steel grey,#7b8a9a
rust orange,#db6c1b
spearmint,#56d48c
burnt yellow,#d4ab2c
rusty orange,#cf601c
soft blue,#428bcf
dull orange,#e5873b
electric pink,#e83acc
ruby red,#c82548
dark mint,#56be8a
darker green,#41974e
dark mustard,#bc912c
velvet,#a33d5f
baby purple,#c99de2
dirt,#7a5836
pastel orange,#eb9959
greige,#a59e8e
rust red,#a9422c
grape purple,#7f3387
highlighter yellow,#dcf92a
strawberry,#f22b5e
dark sky blue,#368de8
redish pink,#e4366a
sunflower yellow,#f4d732
sapphire,#274fcb
light sky blue,#85dbf1
light lime,#b8f691
dark lime green,#77d231
melon,#cdc87b
neon teal,#38f3cc
fuchsia pink,#e540b0
primary blue,#1f4bdc
vibrant purple,#8b2fda
dusky blue,#5083b1
iris,#875dc3
pear,#add545
murky green,#70853e
mossy green,#6aa34a
sand yellow,#e1cc5a
asparagus,#8bb057
duck egg blue,#94cfcf
mid green,#58a854
dark plum,#552255
dark periwinkle,#6768c5
poop brown,#8f6a2c
yellow tan,#c6c26f
turquoise blue,#31d3dd
sunflower,#f1d337
acid green,#9eef37
green apple,#66de46
light neon green,#79fb83
light yellow green,#c4f573
blurple,#6351d9
ugly green,#8dad43
light maroon,#ab425b
tea green,#b2ce92
spruce,#477e66
mud,#7a693c
hazel,#a1905d
yellowish brown,#a7832a
deep brown,#4a2a22
army,#627032
mocha,#ac885e
jean blue,#4c79b2
canary yellow,#f6ec2f
lavender purple,#b478d6
tomato red,#e53b21
azure blue,#298de4
deep sea blue,#254bb6
slime green,#97ed58
bright mint,#3ff3a9
key lime,#7eea73
butter yellow,#f7e279
dark mint green,#53c885
darkish blue,#426abf
dark aqua,#3a8e8d
brownish orange,#c06924
sapphire blue,#294dc6
pale grey,#c9ccc8
soft purple,#a28bd4
light navy,#436ea3
tan brown,#a86f3f
peach pink,#ee938c
muted yellow,#dbcf5c
chestnut brown,#87432b
darkish green,#559645
tan green,#a7b26c
pea soup,#aabe4b
drab green,#688157
charcoal grey,#605a5b
rust brown,#9f4d2c
dusky purple,#7b628e
yellow gold,#e4c63d
honey,#e3a82d
firetruck red,#f22d2b
indigo blue,#3042b8
fluro green,#52ed3b
dark coral,#d6575d
carmine,#bc2749
seaweed green,#539152
sandstone,#d3ab77
ecru,#e2d7a5
brownish red,#9c453e
heather,#b3a5c3
gross green,#a0b02c
irish green,#34b24c
dark lime,#90c02d
swamp,#727d3f
raw umber,#815f30
russet,#af5b3f
racing green,#31642e
medium brown,#a06139
olive brown,#7a681f
green gold,#a2a33c
pinkish brown,#b97772
dark grey blue,#30586d
brown purple,#704854
